Name	SMILE
CHEMBL89460	 CC(C)NC(=O)NC1=CC=CC(CN2CCCCC(NC(=O)NC3=CC=CC=C3)C2=O)=C1
CHEMBL2387319	 CC1CCCN1C1CCN(C1)C1=CC=C(NC(=O)N2CCN(C)CC2)C=C1C
CHEMBL320980	 COC1=CC=C(C=C1)N(C(C)C)C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC(=C2)C(=O)C2=CC=CC=C2)C1=O
CHEMBL105619	 CC(C)N(C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(CC(=O)NC2=CC=CC=C2)(CC2=CC=CC=C2)C1=O)C1=CC=CC=C1
CHEMBL317181	 CC(C)N(C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(CC(=O)NC2=CC=CC=C2)C1=O)C1=CC=CC=C1
CHEMBL2387318	 CC1CCCN1C1CCN(C1)C1=CC=C(NC(=O)N2CCN(C)CC2)C(C)=C1
CHEMBL2387316	 CC1CCCN1C1CCN(C1)C1=CC=C(NC(=O)NC2CCCCC2)C=C1C
CHEMBL410138	 O=C(CN1C(=O)N(CC(=O)N2CCCC2)C2=CC=CC=C2N(C2=CC=CC=C2)C1=O)NC1=CC=CC=C1
CHEMBL329168	 CCCCCN(CCCCC)C(=O)N1CCN([C@@H](C1)C(=O)N(C)CCN(C)CC1=CC=CC=C1)C(=O)N(C1=CC=CC=C1)C1=CC=CC=C1
CHEMBL88239	 CC(C)N(C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(C)(CC(=O)NC2=CC=CC=C2)C1=O)C1=CC=CC=C1
CHEMBL88602	 COC1=CC=C(C=C1)N(C(C)C)C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(CC2=CNC3=CC=CC=C23)C1=O
CHEMBL102703	 CC1=CC=CC(NC(=O)N[C@H](COCC2=CC=CC=C2)C(=O)N2CCCC(C2)C(=O)NC2=CC=CC=C2)=C1
CHEMBL314961	 CC(C)NC(=O)NC1=CC=CC(CN2C3=CC=CC=C3CCCC(NC(=O)NC3=CC=CC=C3)C2=O)=C1
CHEMBL2387315	 CC1CCCN1C1CCN(C1)C1=CC=C(NC(=O)NC2CCCCC2)C(C)=C1
CHEMBL93038	 CCCCCN(CCCCC)C(=O)N1CCN([C@@H](C1)C(=O)N(C)CCN(C)CC1=CC(C)=CC(C)=C1)C(=O)N(C1=CC=CC=C1)C1=CC=CC=C1
CHEMBL473904	 ClC1=CC=CC(Cl)=C1CN1CCC2(CC1)N(CN(CCN1CCCC1)C2=O)C1=CC=CC=C1
CHEMBL2036768	 O=C(NC1=CC(=CC=C1)C#N)N1CCN(C[C@@H]2CCCN(C2)C2CC2)CC1
CHEMBL101803	 CCCC[C@@H](NC(=O)NC1=CC=CC(C)=C1)C(=O)N1CCC(CC1)C(=O)C1=CC=CC=C1
CHEMBL260394	 CNC1=CC=CC(NC(=O)CN2C(=O)N(CC(=O)C(C)(C)C)C3=CC=CC=C3N(C3CCCCC3)C2=O)=C1
CHEMBL358778	 COC(=O)N1C(=CC2=CC=CC=C12)C(=O)NC1C(=O)N(CC(=O)N(C(C)C)C2=CC=CC=C2)C2=CC=CC=C2N(C2=CC=CC=C2)C1=O
CHEMBL431212	 CC(C)N(C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(C)(CC2=CNC3=CC=CC=C23)C1=O)C1=CC=CC=C1
